Frequency   	S[1,1]_Mag  	S[1,1]_Phs  	S[1,2]_Mag  	S[1,2]_Phs  	S[1,3]_Mag  	S[1,3]_Phs  	S[1,4]_Mag  	S[1,4]_Phs  	S[2,1]_Mag  	S[2,1]_Phs  	S[2,2]_Mag  	S[2,2]_Phs  	S[2,3]_Mag  	S[2,3]_Phs  	S[2,4]_Mag  	S[2,4]_Phs  	S[3,1]_Mag  	S[3,1]_Phs  	S[3,2]_Mag  	S[3,2]_Phs  	S[3,3]_Mag  	S[3,3]_Phs  	S[3,4]_Mag  	S[3,4]_Phs  	S[4,1]_Mag  	S[4,1]_Phs  	S[4,2]_Mag  	S[4,2]_Phs  	S[4,3]_Mag  	S[4,3]_Phs  	S[4,4]_Mag  	S[4,4]_Phs  	
1.513561248436210E+00 	2.127689454999121E-03  	-1.965334425923609E-04  	9.978570687110880E-01  	-9.295645067499677E-07  	9.720088424299890E-06  	1.220494859590970E-02  	8.357994460663750E-06  	1.799865572881780E+02  	9.978570687110880E-01  	-9.295645067499677E-07  	2.127866585185170E-03  	-1.980223263647980E-04  	8.473080987874251E-06  	1.799867019639569E+02  	9.580080841310661E-06  	1.243743769571580E-02  	9.720088424299890E-06  	1.220494859590970E-02  	8.473080987874251E-06  	1.799867019639569E+02  	1.254842327449740E-04  	-5.699672661005769E-03  	9.998584902367510E-01  	-7.874547754613722E-07  	8.357994460663750E-06  	1.799865572881780E+02  	9.580080841310661E-06  	1.243743769571580E-02  	9.998584902367510E-01  	-7.874547754613722E-07  	1.255243517689430E-04  	-5.700071483807950E-03  	
1.584893192461110E+00 	2.127689455000320E-03  	-2.057957783853300E-04  	9.978570687110880E-01  	-9.733735322720629E-07  	9.720088445573517E-06  	1.278015008362330E-02  	8.357994482849350E-06  	1.799859237527129E+02  	9.978570687110880E-01  	-9.733735322720629E-07  	2.127866585186400E-03  	-2.073548310881750E-04  	8.473081009883738E-06  	1.799860752468500E+02  	9.580080863084330E-06  	1.302359605605480E-02  	9.720088445573517E-06  	1.278015008362330E-02  	8.473081009883738E-06  	1.799860752468500E+02  	1.254842328048530E-04  	-5.968289955986090E-03  	9.998584902367510E-01  	-8.245663756845062E-07  	8.357994482849350E-06  	1.799859237527129E+02  	9.580080863084330E-06  	1.302359605605480E-02  	9.998584902367510E-01  	-8.245663756845062E-07  	1.255243518288491E-04  	-5.968707574727460E-03  	
1.659586907437560E+00 	2.127689455001640E-03  	-2.154946346158040E-04  	9.978570687110880E-01  	-1.019247213558440E-06  	9.720088468899578E-06  	1.338245997952690E-02  	8.357994507175381E-06  	1.799852603596450E+02  	9.978570687110880E-01  	-1.019247213558440E-06  	2.127866585187740E-03  	-2.171271632088650E-04  	8.473081034016670E-06  	1.799854189934800E+02  	9.580080886958681E-06  	1.363737920592100E-02  	9.720088468899578E-06  	1.338245997952690E-02  	8.473081034016670E-06  	1.799854189934800E+02  	1.254842328705090E-04  	-6.249566793778971E-03  	9.998584902367510E-01  	-8.634269917419908E-07  	8.357994507175381E-06  	1.799852603596450E+02  	9.580080886958681E-06  	1.363737920592100E-02  	9.998584902367510E-01  	-8.634269917419908E-07  	1.255243518945350E-04  	-6.250004094284819E-03  	
1.737800828749380E+00 	2.127689455003090E-03  	-2.256505838581989E-04  	9.978570687110879E-01  	-1.067282854837490E-06  	9.720088494476101E-06  	1.401315586312920E-02  	8.357994533848326E-06  	1.799845657018290E+02  	9.978570687110879E-01  	-1.067282854837490E-06  	2.127866585189210E-03  	-2.273600511534990E-04  	8.473081060477908E-06  	1.799847318118450E+02  	9.580080913136390E-06  	1.428008906110170E-02  	9.720088494476101E-06  	1.401315586312920E-02  	8.473081060477908E-06  	1.799847318118450E+02  	1.254842329424990E-04  	-6.544099800214491E-03  	9.998584902367510E-01  	-9.041190522106112E-07  	8.357994533848326E-06  	1.799845657018290E+02  	9.580080913136390E-06  	1.428008906110170E-02  	9.998584902367510E-01  	-9.041190522106112E-07  	1.255243519665580E-04  	-6.544557710057710E-03  	
1.819700858609980E+00 	2.127689455004681E-03  	-2.362851682424941E-04  	9.978570687110879E-01  	-1.117582346144560E-06  	9.720088522520201E-06  	1.467357552434530E-02  	8.357994563094649E-06  	1.799838383058030E+02  	9.978570687110879E-01  	-1.117582346144560E-06  	2.127866585190820E-03  	-2.380752002493580E-04  	8.473081089492070E-06  	1.799840122443420E+02  	9.580080941839680E-06  	1.495308889472100E-02  	9.720088522520201E-06  	1.467357552434530E-02  	8.473081089492070E-06  	1.799840122443420E+02  	1.254842330214350E-04  	-6.852513719225589E-03  	9.998584902367510E-01  	-9.467288704062892E-07  	8.357994563094649E-06  	1.799838383058030E+02  	9.580080941839680E-06  	1.495308889472100E-02  	9.998584902367510E-01  	-9.467288704062892E-07  	1.255243520455300E-04  	-6.852993209694260E-03  	
1.905460717963250E+00 	2.127689455006420E-03  	-2.474209451479810E-04  	9.978570687110880E-01  	-1.170252379444500E-06  	9.720088553269940E-06  	1.536511980111750E-02  	8.357994595162600E-06  	1.799830766286650E+02  	9.978570687110880E-01  	-1.170252379444500E-06  	2.127866585192590E-03  	-2.492953387642880E-04  	8.473081121305470E-06  	1.799832587646740E+02  	9.580080973312209E-06  	1.565780622891230E-02  	9.720088553269940E-06  	1.536511980111750E-02  	8.473081121305470E-06  	1.799832587646740E+02  	1.254842331079860E-04  	-7.175462738012758E-03  	9.998584902367510E-01  	-9.913468274662261E-07  	8.357994595162600E-06  	1.799830766286650E+02  	9.580080973312209E-06  	1.565780622891230E-02  	9.998584902367510E-01  	-9.913468274662261E-07  	1.255243521321220E-04  	-7.175964826170331E-03  	
1.995262314968880E+00 	2.127689455008330E-03  	-2.590815350504781E-04  	9.978570687110880E-01  	-1.225404674939470E-06  	9.720088586986361E-06  	1.608925555076570E-02  	8.357994630324400E-06  	1.799822790547960E+02  	9.978570687110880E-01  	-1.225404674939470E-06  	2.127866585194530E-03  	-2.610442661163919E-04  	8.473081156188161E-06  	1.799824697746080E+02  	9.580081007821150E-06  	1.639573586276960E-02  	9.720088586986361E-06  	1.608925555076570E-02  	8.473081156188161E-06  	1.799824697746080E+02  	1.254842332028880E-04  	-7.513631874661057E-03  	9.998584902367510E-01  	-1.038067564059360E-06  	8.357994630324400E-06  	1.799822790547960E+02  	9.580081007821150E-06  	1.639573586276960E-02  	9.998584902367510E-01  	-1.038067564059360E-06  	1.255243522270670E-04  	-7.514157625503701E-03  	
2.089296130854040E+00 	2.127689455010429E-03  	-2.712916716245400E-04  	9.978570687110880E-01  	-1.283156218042600E-06  	9.720088623955678E-06  	1.684751876137440E-02  	8.357994668878548E-06  	1.799814438924350E+02  	9.978570687110880E-01  	-1.283156218042600E-06  	2.127866585196661E-03  	-2.733469033557979E-04  	8.473081194436281E-06  	1.799816436005940E+02  	9.580081045659463E-06  	1.716844304300109E-02  	9.720088623955678E-06  	1.684751876137440E-02  	8.473081194436281E-06  	1.799816436005940E+02  	1.254842333069450E-04  	-7.867738431154089E-03  	9.998584902367509E-01  	-1.086990181131980E-06  	8.357994668878548E-06  	1.799814438924350E+02  	9.580081045659463E-06  	1.716844304300109E-02  	9.998584902367509E-01  	-1.086990181131980E-06  	1.255243523311720E-04  	-7.868288959869662E-03  	
2.187761623949550E+00 	2.127689455012721E-03  	-2.840772542068909E-04  	9.978570687110880E-01  	-1.343629507519649E-06  	9.720088664491729E-06  	1.764151780981041E-02  	8.357994711152339E-06  	1.799805693700940E+02  	9.978570687110880E-01  	-1.343629507519649E-06  	2.127866585198990E-03  	-2.862293460255440E-04  	8.473081236374510E-06  	1.799807784902060E+02  	9.580081087148330E-06  	1.797756678400770E-02  	9.720088664491729E-06  	1.764151780981041E-02  	8.473081236374510E-06  	1.799807784902060E+02  	1.254842334210420E-04  	-8.238533514865660E-03  	9.998584902367510E-01  	-1.138218450114030E-06  	8.357994711152339E-06  	1.799805693700940E+02  	9.580081087148330E-06  	1.797756678400770E-02  	9.998584902367510E-01  	-1.138218450114030E-06  	1.255243524453220E-04  	-8.239109989199212E-03  	
2.290867652767770E+00 	2.127689455015240E-03  	-2.974654027323900E-04  	9.978570687110879E-01  	-1.406952815325340E-06  	9.720088708938631E-06  	1.847293687328650E-02  	8.357994757504620E-06  	1.799796536327939E+02  	9.978570687110879E-01  	-1.406952815325340E-06  	2.127866585201550E-03  	-2.997189195137189E-04  	8.473081282358860E-06  	1.799798726084310E+02  	9.580081132639969E-06  	1.882482334443170E-02  	9.720088708938631E-06  	1.847293687328650E-02  	8.473081282358860E-06  	1.799798726084310E+02  	1.254842335461470E-04  	-8.626803631757244E-03  	9.998584902367510E-01  	-1.191861033032330E-06  	8.357994757504620E-06  	1.799796536327939E+02  	9.580081132639969E-06  	1.882482334443170E-02  	9.998584902367510E-01  	-1.191861033032330E-06  	1.255243525704840E-04  	-8.627407274487924E-03  	
